Date, Name, Value, ChangePer
12:22 PM EST 11/18/19, MSFT, 149.8783, -0.06%
12:22 PM EST 11/18/19, AMZN, 1743.25, 0.22%
12:22 PM EST 11/18/19, GOOGL, 1321.32, -0.92%
12:24 PM EST 11/18/19, MSFT, 149.88, -0.06%
12:24 PM EST 11/18/19, AMZN, 1742.455, 0.17%
12:22 PM EST 11/18/19, GOOGL, 1321.32, -0.92%
12:25 PM EST 11/18/19, MSFT, 149.8799, -0.06%
12:25 PM EST 11/18/19, AMZN, 1742.6906, 0.18%
12:22 PM EST 11/18/19, GOOGL, 1321.32, -0.92%
12:26 PM EST 11/18/19, MSFT, 149.86, -0.07%
12:26 PM EST 11/18/19, AMZN, 1741.69, 0.13%
12:26 PM EST 11/18/19, GOOGL, 1320.4617, -0.98%
12:27 PM EST 11/18/19, MSFT, 149.79, -0.12%
12:27 PM EST 11/18/19, AMZN, 1742.00, 0.14%
12:27 PM EST 11/18/19, GOOGL, 1319.74, -1.03%
12:28 PM EST 11/18/19, MSFT, 149.77, -0.13%
12:28 PM EST 11/18/19, AMZN, 1741.75, 0.13%
12:28 PM EST 11/18/19, GOOGL, 1319.77, -1.03%
12:29 PM EST 11/18/19, MSFT, 149.665, -0.20%
12:29 PM EST 11/18/19, AMZN, 1741.096, 0.09%
12:29 PM EST 11/18/19, GOOGL, 1318.7476, -1.11%
